date,strategy,benchmark
2018-11-08,94158.12741784734,103645.20682539558
2018-11-09,92522.17567838928,102632.7525647343
2018-11-12,88404.08412604536,100715.04277077076
2018-11-13,88753.39129385762,100526.57333467474
2018-11-14,88315.52609236719,99839.3413750763
2018-11-15,91387.45213481557,100881.3307552388
2018-11-16,91282.72775909105,101143.6728566166
2018-11-19,85419.51155627656,99432.8864014896
2018-11-20,85461.70616703658,97592.75146421987
2018-11-21,86738.1471681409,97925.30207568052
2018-11-23,86892.48998057806,97271.28206951992
2018-11-26,89516.74142030788,98841.6641832189
2018-11-27,89060.7611598701,99174.21479467956
2018-11-28,93857.69313964626,101457.76322596788
2018-11-29,94186.43969880258,101236.0247821143
2018-11-30,95216.99738038098,101853.12430405615
2018-12-03,96234.26487765639,103201.81868885242
2018-12-04,92781.55865119898,99857.79527781681
2018-12-06,93209.18768233302,99706.3097196281
2018-12-07,90069.9239297235,97389.5112986888
2018-12-10,91098.82099327556,97574.27220400392
2018-12-11,91355.1671410298,97596.43463752534
2018-12-12,92568.75314838959,98087.90688684309
2018-12-13,92184.52291044765,98054.63153971668
2018-12-14,90272.71291046224,96244.0570794236
2018-12-17,87750.74967485972,94355.93311991214
2018-12-18,88934.187685672,94252.46828080944
2018-12-19,86908.23282716225,92840.94441127898
2018-12-20,85077.98214627239,91329.70860900871
2018-12-21,82712.958594973,89458.39031633514
2018-12-24,79770.80030833908,87094.63619027767
2018-12-26,84494.01700530562,91495.09640309916
2018-12-27,85599.19296408213,92197.53016921486
2018-12-28,85885.66896655035,92078.58459136523
2018-12-31,86837.65427776522,92885.08543662497
2019-01-02,86557.35518133154,92981.7227754695
2019-01-03,84710.49471158607,90762.90563957226
2019-01-04,86967.39990795925,93803.08310132827
2019-01-07,88191.3500040753,94542.70994452355
2019-01-08,88702.89001182979,95430.9569511845
2019-01-09,89333.48019383021,95876.94422895873
2019-01-10,89631.03961260586,96215.14955743914
2019-01-11,89765.16040838188,96252.33629514986
2019-01-14,89209.65651502254,95665.1078792586
2019-01-15,90127.41413971473,96761.4827048388
2019-01-16,90106.3703626474,96995.66532975716
2019-01-17,90560.19693329651,97731.52024848296
2019-01-18,91269.95785765025,99032.35239841462
2019-01-22,90340.34182258256,97694.35886824768
2019-01-23,90322.31130608676,97898.77815638602
2019-01-24,90720.9263795024,97950.83705343345
2019-01-25,91808.25830879249,98779.60810148518
2019-01-28,91302.52021757612,98028.86200531606
2019-01-29,90689.31454267286,97898.77815638602
2019-01-30,92117.35536015776,99448.55098193337
2019-01-31,92839.93825610167,100322.0272591593
2019-02-01,93397.5560470346,100370.32691047498
2019-02-04,94689.95436005316,101076.45018926502
2019-02-05,95231.65731554624,101500.17360361612
2019-02-06,95682.9220163747,101366.33684832318
2019-02-07,94043.63715128432,100400.05855041074
2019-02-08,95223.55342748239,100522.69998030357
2019-02-11,95562.5022803106,100578.42303254992
2019-02-12,96915.17477466195,101871.83178155092
2019-02-13,96302.87835155184,102202.58835162527
2019-02-14,96208.93420743234,101975.86082448183
2019-02-15,96823.10761642928,103087.13316687418
2019-02-19,97222.42143069908,103265.54202459536
2019-02-20,97301.31400232317,103473.68252225229
2019-02-21,97237.14182816174,103105.72019636068
2019-02-22,98761.86592846678,103744.98215182395
2019-02-25,99192.2750416173,103886.21695057212
2019-02-26,98994.27817413655,103811.90686883927
2019-02-27,99162.49702836755,103767.25869398478
2019-02-28,99218.76860910359,103573.99035566457
2019-03-01,99548.85952766793,104220.68839079622
2019-03-04,97836.2102691215,103841.60047256191
2019-03-05,97817.50123249591,103700.35299507601
2019-03-06,96680.67847486796,103072.25466816858
2019-03-07,95982.1946534644,102210.03711003134
2019-03-08,95916.59945571309,102005.58612504874
2019-03-11,98082.35020377087,103484.7764177507
2019-03-12,98581.26265967084,103875.07234012286
2019-03-13,98628.77864377521,104562.65296500838
2019-03-14,98877.53814805302,104495.74092673077
2019-03-15,100021.96115401911,105012.01278701413
2019-03-18,100098.10602941975,105392.72992304449
2019-03-19,100647.45782773616,105418.89249831419
2019-03-20,100518.07481043605,105101.56271147738
2019-03-21,103464.92798573885,106288.69194160351
2019-03-22,100123.96849280658,104243.00296917018
2019-03-25,99952.01620924054,104164.61033389391
2019-03-26,100824.16638620007,104941.03087393081
2019-03-27,99643.573214161,104392.32046321007
2019-03-28,100289.54441283827,104787.99850974117
2019-03-29,101810.40346665075,105448.75726499595
2019-04-01,103103.06146589272,106699.27384431561
2019-04-02,103561.88595062016,106751.54827990418
2019-04-03,104583.3834944956,106919.52887585683
2019-04-04,102827.8465501992,107203.21563217358
2019-04-05,103029.82959071608,107722.11833053228
2019-04-08,103398.15287471807,107804.26387217143
2019-04-09,103085.09116746152,107251.80055508782
2019-04-10,104431.15533307377,107617.62017430601
2019-04-11,104645.03612183053,107587.77442573084
2019-04-12,105219.640153906,108315.67343654206
2019-04-15,105019.54372076888,108244.72322030301
2019-04-16,105618.88262989091,108315.67343654206
2019-04-17,105239.05831487385,108050.63710340037
2019-04-18,105028.11618814763,108263.3990009535
2019-04-22,105840.9592688698,108356.71451051735
2019-04-23,107367.24602209209,109331.02478877064
2019-04-24,106743.83723227249,109088.37910642919
2019-04-25,106608.28724528178,109021.19447529074
2019-04-26,106869.08504099815,109528.91452698704
2019-04-29,106859.9565465548,109700.59731435173
2019-04-30,106493.82940243183,109756.62465630319
2019-05-01,104923.1389586426,108931.58115713893
2019-05-02,105818.25326350002,108696.4666449987
2019-05-03,105954.23328644094,109760.35220519066
2019-05-06,104867.57283025063,109308.6341379704
2019-05-07,103791.45205166748,107483.18751834058
2019-05-08,102448.51545185177,107333.89538177612
2019-05-09,101711.22882349975,107009.12951527094
2019-05-10,102181.03254536429,107546.68263680469
2019-05-13,96857.74555809819,104843.97513674176
2019-05-14,99351.88400625784,105792.1862334139
2019-05-15,100123.55111245494,106411.85953911139
2019-05-16,100661.0069214712,107397.39050024023
2019-05-17,98901.96358800994,106703.0140719408
2019-05-20,96390.82989522222,105997.51205129868
2019-05-21,97893.47554471022,106953.15288827033
2019-05-22,97426.14719875422,106624.64679413996
2019-05-23,95146.12303370702,105321.81774301859
2019-05-24,95881.97867190368,105560.761233948
2019-05-28,95783.24643242634,104578.98317918206
2019-05-29,94472.14656925437,103877.15799247655
2019-05-30,94777.19193099452,104160.87010626873
2019-05-31,93271.36341048649,102757.295805284
2019-06-03,91272.63728098912,102496.00603913634
2019-06-04,94854.83486309212,104720.81387860273
2019-06-05,96549.68531131744,105627.89515013558
2019-06-06,97513.80228267724,106314.79112318464
2019-06-07,98831.6785554205,107378.72739832745
2019-06-10,100518.19289362442,107871.44850330988
2019-06-11,98929.23332112555,107845.30494614675
2019-06-12,98577.04638235839,107654.95905686927
2019-06-13,98878.15380494054,108099.1332751506
2019-06-14,97356.96655766745,107979.72492337445
2019-06-17,97797.06346270134,108020.76599734976
2019-06-18,100049.4232420351,109151.83618868016
2019-06-19,101049.03325546489,109398.27281359764
2019-06-20,102241.89617159728,110443.43187818826
2019-06-21,101202.22948861071,110282.91905874826
2019-06-24,99606.55874345292,110147.86514463491
2019-06-25,97488.48784874314,109067.54794036759
2019-06-26,98438.9816181976,108958.75169205679
2019-06-27,100205.84973465043,109345.12354510692
2019-06-28,100492.35993122343,109907.78056731138
2019-07-01,102776.06886054645,110905.62258275902
2019-07-02,102867.09453070347,111194.44422784934
2019-07-03,103674.47710121157,112083.47731624848
2019-07-05,103530.22413916564,111955.89117864778
2019-07-08,102670.85207972958,111340.75686105136
2019-07-09,103536.43953946371,111479.51296657675
2019-07-10,104388.86578825022,112012.17209535348
2019-07-11,104663.96988882976,112274.77411085439
2019-07-12,105363.51909254833,112777.40998872796
2019-07-15,105639.5810289577,112814.91369488148
2019-07-16,104275.77090239612,112451.09731622184
2019-07-17,104955.43470950436,111685.80870789652
2019-07-18,105584.16274058366,112094.72335659944
2019-07-19,104542.56175523643,111472.00715385097
2019-07-22,105390.7040357573,111745.8298522274
2019-07-23,105503.83952106052,112544.83122413022
2019-07-24,107734.2085000019,113073.75012528177
2019-07-25,106177.28049023624,112533.55982630383
2019-07-26,107120.59404639575,113287.55167932733
2019-07-29,105871.85353154816,113081.24325926985
2019-07-30,105195.76004563755,112803.68033326822
2019-07-31,103254.94738934678,111569.55736181079
2019-08-01,103134.51440019006,110598.02372711654
2019-08-02,101119.30886398493,109765.24619794768
2019-08-05,96601.61478666417,106464.2734408148
2019-08-06,97510.89972045223,107957.23284267251
2019-08-07,98359.59670778297,108020.99421462858
2019-08-08,101597.60513639604,110140.37201064684
2019-08-09,101266.55273488536,109390.15842146165
2019-08-12,99579.33887889894,108058.4852420444
2019-08-13,101183.52542213716,109739.01388962055
2019-08-14,97500.7384791792,106494.2586555048
2019-08-15,97474.78642199805,106775.62520282017
2019-08-16,99510.21956820285,108351.09782971072
2019-08-19,100090.87491217547,109656.46262837459
2019-08-20,100100.14036058048,108816.23000143078
2019-08-21,102129.5215691269,109701.43411104075
2019-08-22,102339.990184044,109667.73402620098
2019-08-23,99990.41951066538,106850.63261512721
2019-08-26,101119.7934612307,108032.22757624184
2019-08-27,101079.17571927788,107608.3520170382
2019-08-28,100587.77003710625,108366.09677642459
2019-08-29,102455.73117954987,109750.25992997152
2019-08-30,101280.7417986634,109701.43411104075
2019-09-03,100024.89316637571,109060.04212764179
2019-09-04,101014.67716928865,110297.87996924898
2019-09-05,102727.27028064203,111715.8573162751
2019-09-06,101748.07273888058,111802.12344767082
2019-09-09,99126.738087684,111858.3790069011
2019-09-10,97825.22389594738,111832.13401983626
2019-09-11,98347.97295240368,112627.38248537618
2019-09-12,99065.38078439423,113017.48188731378
2019-09-13,97770.04085794183,112942.44911753132
2019-09-16,98418.34332491126,112593.60632811014
2019-09-17,99274.39938642767,112878.67506683755
2019-09-18,99437.4106167609,112946.21470263193
2019-09-19,99659.38398244888,112938.69621116843
2019-09-20,99109.68792967437,112405.11153453868
2019-09-23,99288.16603456996,112378.68904514587
2019-09-24,97440.7367032283,111496.89551598056
2019-09-25,98830.29555078846,112156.39273683295
2019-09-26,98910.62844273512,111922.71092205422
2019-09-27,97045.11817956527,111319.78622887492
2019-09-30,98109.46124079908,111836.03907105171
2019-10-01,97618.21826419319,110505.78591025824
2019-10-02,96006.02943638235,108553.76745204473
2019-10-03,97941.88251380234,109443.11750888667
2019-10-04,100131.17545565747,110924.0955036061
2019-10-07,99646.44786037233,110445.46047622226
2019-10-08,96371.65546644352,108730.85138167495
2019-10-09,98067.87562449486,109763.42045971708
2019-10-10,98663.35587835079,110505.78591025824
2019-10-11,100148.88741203054,111651.38593500714
2019-10-14,100518.20004480636,111527.05823299855
2019-10-15,101631.37906756204,112631.19878542764
2019-10-16,99419.21590968815,112450.27319827054
2019-10-17,99154.3662694014,112781.96165556675
2019-10-18,97314.8839017253,112288.27696651817
2019-10-21,98455.13609374949,113049.45766382465
2019-10-22,95267.51050980928,112680.16407047324
2019-10-23,94993.19356077061,113008.08694266883
2019-10-24,97784.76591642415,113192.68936376255
2019-10-25,98696.19611940887,113656.19865705541
2019-10-28,99716.89983002066,114296.82991619164
2019-10-29,99190.07160643298,114262.91429281075
2019-10-30,100406.11559389606,114613.43067560998
2019-10-31,98931.98426811342,114308.13935023117
2019-11-01,100417.76357360784,115367.1182389284
2019-11-04,101416.61913633288,115830.60217474584
2019-11-05,101090.09015262505,115702.50888763665
2019-11-06,100812.63370564971,115728.85530460317
2019-11-07,103459.88471393795,116135.85546391152
2019-11-08,103899.9019316788,116422.24279136103
2019-11-11,104012.33561193972,116199.92112557268
2019-11-12,104199.62150409364,116444.89969565324
2019-11-13,103835.70510599627,116482.49215297074
2019-11-14,103198.25474565665,116652.13366356373
2019-11-15,104571.36453382857,117496.25866298526
2019-11-18,104445.26121145923,117582.93051398778
2019-11-19,104208.46637897154,117549.0148906069
2019-11-20,103889.2777505177,117111.8900504937
2019-11-21,103074.0792894332,116923.47132934853
2019-11-22,103056.22511185614,117183.47420361836
2019-11-25,105109.48511998149,118091.66486470106
2019-11-26,104968.32111798706,118359.21158790983
2019-11-27,105862.46136703414,118886.81190033928
2019-11-29,105122.24430790883,118445.90879638777
