date,strategy,benchmark
2018-07-02,100000.0,100000.0
2018-07-03,100000.0,99646.83387296138
2018-07-05,100000.0,100459.79427740283
2018-07-06,100000.0,101309.49131272185
2018-07-09,100000.0,102221.70718388462
2018-07-10,100000.0,102589.52992707319
2018-07-11,100000.0,101839.16443087763
2018-07-12,100000.0,102762.44249718817
2018-07-13,100000.0,102843.36451498835
2018-07-16,100000.0,102751.3929807741
2018-07-17,100000.0,103167.03356808853
2018-07-18,100000.0,103384.07447082452
2018-07-19,100000.0,102994.16537354149
2018-07-20,100000.0,102876.47502802951
2018-07-23,100000.0,103067.77176200038
2018-07-24,100000.0,103586.35732754102
2018-07-25,100000.0,104469.19023336857
2018-07-26,100000.0,104222.71565036262
2018-07-27,100000.0,103516.51018362229
2018-07-30,100000.0,102975.79388841928
2018-07-31,99850.17481269359,103483.36163438005
2018-08-01,100032.42922227603,103310.52513666723
2018-08-02,104219.49958126742,103873.31510723103
2018-08-03,104609.76678564795,104318.38937481544
2018-08-06,105569.7494991721,104700.90677035504
2018-08-07,106139.70144800174,105046.70021375077
2018-08-08,106185.39961418405,105002.54652366239
2018-08-09,105925.87945613782,104859.0993306516
2018-08-10,105194.02040874147,104156.48828491346
2018-08-13,105449.07449541953,103766.6299025652
2018-08-14,106452.70958454012,104428.7450728856
2018-08-15,104644.22365392913,103648.90786021898
2018-08-16,105069.3843681139,104487.55537912394
2018-08-17,104434.03731102323,104855.35276484511
2018-08-20,104718.98454601839,105079.79804805823
2018-08-21,105133.2734859538,105326.25361296364
2018-08-22,105831.38364062039,105263.7347771199
2018-08-23,106669.27256837519,105123.95173814661
2018-08-24,107951.5106611757,105756.64590693075
2018-08-27,109653.08675736631,106591.58489623027
2018-08-28,109966.64378320146,106643.11126996155
2018-08-29,111162.87130993999,107216.90004200464
2018-08-30,111077.86932256854,106782.89430893485
2018-08-31,110633.49683367192,106786.55846297233
2018-09-04,110105.84149638198,106602.69146694597
2018-09-05,108360.11575084776,106315.72100852226
2018-09-06,105554.41777838023,105995.67173389164
2018-09-07,106044.88323644326,105789.7310625045
2018-09-10,107007.68343988387,105973.62341599826
2018-09-11,106469.72200342767,106323.10003153201
2018-09-12,105432.67158797759,106348.8568790308
2018-09-13,106729.8757868583,106977.82983947582
2018-09-14,107436.85342427787,106996.2266820654
2018-09-17,105662.50470352394,106429.72818189621
2018-09-18,106976.77954171172,107007.29521658002
2018-09-19,106368.63837789121,107121.28971122028
2018-09-20,107876.80155954412,107989.38992849574
2018-09-21,107638.10859487287,107890.7113441575
2018-09-24,107788.96828190255,107532.29622136967
2018-09-25,106907.98892320471,107432.51458720009
2018-09-26,106077.5738385842,107111.07065186315
2018-09-27,106414.03870217358,107410.39019690454
2018-09-28,107098.89560147654,107421.45873141916
2018-10-01,107275.48281261524,107794.64457896017
2018-10-02,107341.35416841591,107731.84681097517
2018-10-03,107537.85474448066,107790.9550674553
2018-10-04,105333.81113148209,106948.47857097485
2018-10-05,104055.50334615912,106349.89019582684
2018-10-08,102549.20273997007,106349.89019582684
2018-10-09,101832.83431983404,106194.71517414937
2018-10-10,97444.77797696866,102832.2642836395
2018-10-11,96337.86032756326,100567.2148486229
2018-10-12,98753.46289992536,101963.92317042386
2018-10-15,97836.82301936216,101391.20575137789
2018-10-16,101201.05590346102,103608.21546442898
2018-10-17,101196.20790713503,103626.71373688812
2018-10-18,98744.26566132867,102130.18574471648
2018-10-19,98062.64501942944,102074.76699974123
2018-10-22,98559.8476501444,101616.5956002512
2018-10-23,97941.34527349898,101099.27790807994
2018-10-24,92779.69581308485,98036.10852641037
2018-10-25,95565.1933020043,99794.94050060459
2018-10-26,92894.43073011091,98039.8043772821
2018-10-29,92052.40514413726,97496.6284077425
2018-10-30,94846.00294928813,98941.40814834321
2018-10-31,96530.82680754838,99998.18060171495
2018-11-01,100673.2031960786,101062.35109619697
2018-11-02,100520.69342030682,100463.76272104896
2018-11-05,99360.48722031247,101018.00088573633
